"Genus","stage","extinct","mass_ext","log_range","log_bodysize"
"Robergia",5,1,0,1.062125894,-0.900254334
"Robergiella",4,0,0,0.876395495,-0.349857329
"Robergiella",5,1,0,0.209281931,-0.349857329
"Rossaspis",1,1,0,0.881268653,-1.1249684
"Sagavia",1,0,0,-1.305024977,-0.483582211
"Sagavia",5,1,0,-0.945683692,-0.483582211
"Saltaspis",1,1,0,0.90278829,-0.851751735
"Salteria",5,1,0,1.062125894,-0.347308065
"Salterocoryphe",4,1,0,0.318186923,0.792132244
"Salterolithus",5,1,0,-0.945683692,0.584899178
"Sarkia",4,1,0,-1.234632203,0.095434648
"Saukia",1,1,0,-0.264896606,0.251220352
"Saukiella",1,1,0,-0.060858978,0.904977154
"Scharyia",6,0,0,-1.185468733,-1.595458977
"Scharyia",7,0,0,-0.667231623,-1.595458977
"Scharyia",10,0,0,1.029815361,-1.595458977
"Scharyia",11,0,0,-1.282184733,-1.595458977
"Scharyia",12,0,0,-1.009377896,-1.595458977
"Scharyia",13,0,0,1.023172663,-1.595458977
"Scharyia",14,0,0,1.167322387,-1.595458977
"Scharyia",15,0,0,0.047632826,-1.595458977
"Scharyia",16,0,0,-0.46462562,-1.595458977
"Scharyia",17,0,0,-1.725534014,-1.595458977
"Scharyia",18,0,0,1.277656778,-1.595458977
"Scharyia",19,1,0,-1.300501397,-1.595458977
"Schizoproetus",20,1,0,-1.006880796,-0.457665068
"Schizostylus",18,1,0,0.701049963,1.294061651
"Scotoharpes",1,0,0,0.996401058,0.372600394
"Scotoharpes",4,0,0,1.133771223,0.372600394
"Scotoharpes",5,0,0,1.430717948,0.372600394
"Scotoharpes",6,0,0,-1.185468733,0.372600394
"Scotoharpes",9,0,0,1.280466083,0.372600394
"Scotoharpes",10,0,0,1.043460396,0.372600394
"Scotoharpes",14,1,0,-1.056265867,0.372600394
"Scutellum",6,0,0,-1.185468733,1.907193728
"Scutellum",10,0,0,1.040588214,1.907193728
"Scutellum",11,0,0,-1.282184733,1.907193728
"Scutellum",13,0,0,-1.049978635,1.907193728
"Scutellum",14,0,0,-1.056265867,1.907193728
"Scutellum",16,0,0,0.953338965,1.907193728
"Scutellum",17,0,0,0.370838753,1.907193728
"Scutellum",18,0,0,-0.9059852,1.907193728
"Scutellum",19,0,0,1.114396535,1.907193728
"Scutellum",20,1,0,1.140800663,1.907193728
"Seisonia",1,1,0,-1.305024977,-0.30070983
"Seleneceme",4,1,0,-0.403200081,-0.716730538
"Selenopeltis",1,0,0,-1.305024977,1.530196888
"Selenopeltis",4,0,0,0.860088047,1.530196888
"Selenopeltis",5,0,0,0.197685759,1.530196888
"Selenopeltis",6,0,0,-1.185468733,1.530196888
